"Код","Наименование полное","Ед.изм"
"000002889","Клапан противопожарный КЛОПс-1(60) 400х300 с ЭМ","шт"
"000000972","Клапан противопожарный КЛОПс-1(60) 400х400 с Belimo","шт"
"000001929","Клапан противопожарный КЛОПс-1(60) 400х400 с ЭМ","шт"
"000001547","Клапан противопожарный КЛОПс-1(60) 400х400 ТЗ","шт"
"000001548","Клапан противопожарный КЛОПс-1(60) 400х500 с тепловым замком","шт"
"000001095","Клапан противопожарный КЛОПс-1(60) 450х200 с Belimo","шт"
"000002393","Клапан КЛОПс-1(60) 500*600 с Belimo","шт"
"000003735","Клапан КЛОПс-1(60) 500*800 с Belimo","шт"
"000001093","Клапан противопожарный КЛОПс-1(60) 500х200 с Belimo","шт"
"000005124","Клапан противопожарный КЛОПс-1(60) 500х200 с ЭМ","шт"
"000001096","Клапан противопожарный КЛОПс-1(60) 500х250 с Belimo","шт"
"000003288","Клапан противопожарный КЛОПс-1(60) 500х250 с тепловым замком","шт"
"000002746","Клапан противопожарный КЛОПс-1(60) 500х250 с ЭМ","шт"
"000000974","Клапан противопожарный КЛОПс-1(60) 500х300 с Belimo","шт"
"000005421","Клапан противопожарный КЛОПс-1(60) 500х300 с тепловым замком","шт"
"000001372","Клапан противопожарный КЛОПс-1(60) 500х300 с ЭМ","шт"
"000005420","Клапан противопожарный КЛОПс-1(60) 500х400 с тепловым замком","шт"
"000002888","Клапан противопожарный КЛОПс-1(60) 500х400 с ЭМ","шт"
"000001928","Клапан противопожарный КЛОПс-1(60) 500х500 с ЭМ","шт"
"000000973","Клапан противопожарный КЛОПс-1(60) 500х600 с Belimo","шт"
"000001799","Клапан противопожарный КЛОПс-1(60) 600х300 с Belimo","шт"
"000002116","Клапан противопожарный КЛОПс-1(60) 600х300 с ЭМ","шт"
"000001099","Клапан противопожарный КЛОПс-1(60) 600х350 с Belimo","шт"
"000001094","Клапан противопожарный КЛОПс-1(60) 600х400 с Belimo","шт"
"000017162","Клапан противопожарный КЛОПс-1(60) 600х400 с тепловым замком","шт"
"000001371","Клапан противопожарный КЛОПс-1(60) 600х400 с ЭМ","шт"
"000002887","Клапан противопожарный КЛОПс-1(60) 600х500 с ЭМ","шт"
"000002229","Клапан противопожарный КЛОПс-1(60) 600х600 с ЭМ","шт"
"000001546","Клапан противопожарный КЛОПс-1(60) 600х600 ТЗ","шт"
"000002528","Клапан КЛОПс-1(60) 700*700 с Belimo","шт"
"000002747","Клапан противопожарный КЛОПс-1(60) 700х300 с ЭМ","шт"
"000001459","Клапан противопожарный КЛОПс-1(60) 700х350 с Belimo","шт"
"000003206","Клапан противопожарный КЛОПс-1(60) 700х500 с Belimo","шт"
"000003734","Клапан КЛОПс-1(60) 800*500 с Belimo","шт"
"000001800","Клапан противопожарный КЛОПс-1(60) 800х250 с Belimo","шт"
"000002115","Клапан противопожарный КЛОПс-1(60) 800х400 с ЭМ","шт"
"000000977","Клапан противопожарный КЛОПс-1(60) 800х600 с Belimo","шт"
"000003029","Клапан противопожарный КЛОПс-1(60) 800х800 с ЭМ","шт"
"000003209","Клапан противопожарный КЛОПс-1(60) 850х400 с Belimo","шт"
"000000975","Клапан противопожарный КЛОПс-1(60) 900х300 с Belimo","шт"
"000000976","Клапан противопожарный КЛОПс-1(60) 900х500 с Belimo","шт"
"000002048","Клапан КЛОПс-1(60) О- ТЗ 500х500 (взрывозащищенный)","шт"
"000002260","Клапан КЛОПс-1(60) О-МВ ф200","шт"
"000002261","Клапан КЛОПс-1(60) О-МВ ф315","шт"
"000002262","Клапан КЛОПс-1(60) О-МВ ф400","шт"
"000002263","Клапан КЛОПс-1(60) О-МВ ф450","шт"
"000002049","Клапан КЛОПс-1(60) О-ЭМ 150х150","шт"
"000002047","Клапан КЛОПс-1(60) О-ЭМ 150х250","шт"
"000002046","Клапан КЛОПс-1(60) О-ЭМ 250х100","шт"
"000002045","Клапан КЛОПс-1(60) О-ЭМ 250х250","шт"
"000003034","Клапан КЛОПс-1(60) О-ЭМ 300х150","шт"
"000003033","Клапан КЛОПс-1(60) О-ЭМ 400х250","шт"
"000003032","Клапан КЛОПс-1(60) О-ЭМ 500х400","шт"
"000002050","Клапан КЛОПс-1(60) О-ЭМ 600х250","шт"
"000002051","Клапан КЛОПс-1(60) О-ЭМ 800х250","шт"
"000003035","Клапан КЛОПс-1(60) О-ЭМ ф125","шт"
"000001125","Клапан КЛОПс-1(60) О-ЭМ ф250","шт"
"000001133","Клапан КЛОПс-1(60) О-ЭМ ф315","шт"
"000001123","Клапан КЛОПс-1(60) О-ЭМ ф450","шт"
"000001124","Клапан КЛОПс-1(60) О-ЭМ ф500","шт"
"000002505","Клапан КЛОПс-1(60) О-ЭМ ф630","шт"
"000001155","Клапан КЛОПс-1(60) О-ЭМ ф710","шт"
"000002416","Клапан КЛОПс-1(60) ОТЗ 1000х500","шт"
"000001811","Клапан КЛОПс-1(60) ОТЗ 150х150","шт"
"000001414","Клапан КЛОПс-1(60) ОТЗ 250х250","шт"
"000001413","Клапан КЛОПс-1(60) ОТЗ 300х300","шт"
"000001412","Клапан КЛОПс-1(60) ОТЗ 400х400","шт"
"000002347","Клапан КЛОПс-1(60) ОТЗ 600х600","шт"
"000002549","Клапан КЛОПс-1(60) ОТЗ 700х700","шт"
"000002686","Клапан КЛОПс-1(60) ОТЗ ф125","шт"
"000002004","Клапан КЛОПс-1(60) ОТЗ ф160","шт"
"000002008","Клапан КЛОПс-1(60) ОТЗ ф180","шт"
"000002285","Клапан КЛОПс-1(60) ОТЗ ф200","шт"
"000001137","Клапан КЛОПс-1(60) ОТЗ ф250","шт"
"000001136","Клапан КЛОПс-1(60) ОТЗ ф315","шт"
"000000895","Клапан КЛОПс-1(60) ОТЗ ф450","шт"
"000002415","Клапан КЛОПс-1(60) ОТЗ ф500","шт"
"000002890","Клапан  КЛОПс-1(60) О-ТЗ 300х300 В (взрывозащищенный)","шт"
"000000968","Клапан противопожарный КЛОПс-1(60) ф100 с Belimo","шт"
"000003452","Клапан противопожарный КЛОПс-1(60) ф100 с ТЗ","шт"
"000002402","Клапан КЛОПс-1(60) ф125 с Belimo","шт"
"000002559","Клапан противопожарный КЛОПс-1(60) ф125 с ТЗ","шт"
"000008511","Клапан противопожарный КЛОПс-1(60) ф125 с ЭМ","шт"
"000000969","Клапан противопожарный КЛОПс-1(60) ф160 с Belimo","шт"
"000002571","Клапан противопожарный КЛОПс-1(60) ф160 с ТЗ","шт"
"000001097","Клапан противопожарный КЛОПс-1(60) ф200 с Belimo","шт"
"000002445","Клапан противопожарный КЛОПс-1(60) ф200 с ТЗ","шт"
"000003240","Клапан противопожарный КЛОПс-1(60) ф200 с ЭМ","шт"
"000003278","Клапан противопожарный КЛОПс-1(60) ф225 с Belimo","шт"
"000000970","Клапан противопожарный КЛОПс-1(60) ф250 с Belimo","шт"
"000002570","Клапан противопожарный КЛОПс-1(60) ф250 с ТЗ","шт"
"000003239","Клапан противопожарный КЛОПс-1(60) ф250 с ЭМ","шт"
"000001216","Клапан противопожарный КЛОПс-1(60) ф315 с Belimo","шт"
"000002569","Клапан противопожарный КЛОПс-1(60) ф315 с ТЗ","шт"
"000003238","Клапан противопожарный КЛОПс-1(60) ф315  с ЭМ","шт"
"000003279","Клапан противопожарный КЛОПс-1(60) ф355 с Belimo","шт"
"000001217","Клапан противопожарный КЛОПс-1(60) ф400 с Belimo","шт"
"000000971","Клапан противопожарный КЛОПс-1(60) ф500 с Belimo","шт"
"000001291","Клапан противопожарный КЛОПс-1(60) ф630 с Belimo","шт"
"000002758","Клапан противопожарный КЛОПс-1(60) ф710 с ТЗ","шт"
"000001154","Клапан КЛОПс-1(60)-О-ЭМ(220)-200х200","шт"
"000001153","Клапан КЛОПс-1(60)-О-ЭМ(220)-300x150","шт"
"000002284","Клапан КЛОПс-1(60)-ТЗ(220)-400х300","шт"
"000002283","Клапан КЛОПс-1(60)-ТЗ(220)-400х400","шт"
"000001819","Клапан противопожарный КЛОПс-1(90) 250х150 с ЭМ","шт"
"000001538","Клапан противопожарный КЛОПс-1(90) 250х250 с ЭМ","шт"
"000001533","Клапан противопожарный КЛОПс-1(90) 450х400 с ЭМ","шт"
"000001688","Клапан противопожарный КЛОПс-1(90) 500х500 ТЗ","шт"
"000002529","Клапан КЛОПс-1(90) 700*700 с Belimo","шт"
"000001534","Клапан противопожарный КЛОПс-1(90) 700х400 с ЭМ","шт"
"000001204","Клапан КЛОПс-1(90) О-МВ ф100-Н","шт"
"000001206","Клапан КЛОПс-1(90) О-МВ ф200-Н","шт"
"000001203","Клапан КЛОПс-1(90) О-МВ ф315-Н","шт"
"000001205","Клапан КЛОПс-1(90) О-МВ ф400-Н","шт"
"000001202","Клапан КЛОПс-1(90) О-МВ ф500-Н","шт"
"000001207","Клапан КЛОПс-1(90) О-МВ ф800-Н","шт"
"000002733","Клапан КЛОПс-1(90) ОТЗ ф160","шт"
"000002088","Клапан КЛОПс-1(90) ОТЗ ф200","шт"
"000002163","Клапан противопожарный КЛОПс-1(90) ф125 с ТЗ","шт"
"000002695","Клапан КЛОПс-1(90) ф160 с Belimo","шт"
"000003213","Клапан противопожарный КЛОПс-1(90) ф160 с ТЗ","шт"
"000002696","Клапан КЛОПс-1(90) ф200 с Belimo","шт"
"000003219","Клапан противопожарный КЛОПс-1(90) ф200 с ТЗ","шт"
"000002699","Клапан КЛОПс-1(90) ф250 с Belimo","шт"
"000003214","Клапан противопожарный КЛОПс-1(90) ф250 с ТЗ","шт"
"000002162","Клапан противопожарный КЛОПс-1(90) ф315 с ТЗ","шт"
"000002697","Клапан КЛОПс-1(90) ф355 с Belimo","шт"
"000002694","Клапан КЛОПс-1(90) ф400 с Belimo","шт"
"000002698","Клапан КЛОПс-1(90) ф450 с Belimo","шт"
"000002693","Клапан КЛОПс-1(90) ф630 с Belimo","шт"
"76788","Ключ комбинированный Кобальт трещеточный 13 мм","шт"
"НФ-00052044","Ключ разводной 300мм/12""","шт"
"НФ-00012369","Ключ рожково-накидной 10 мм","шт"
"НФ-00012367","Ключ рожково-накидной 13 мм","шт"
"НФ-00012368","Ключ рожково-накидной 17 мм","шт"
"76792","Ключ рожковый Кобальт, 14х17 мм Cr-v","шт"
"58541","КМН 200х100","шт"
"НФ-00048904","КМН 200х150","шт"
"НФ-00048902","Решетка КМН 300х100","шт"
"НФ-00051631","Решетка КМН 300х125","шт"
"НФ-00042076","Решетка КМН 300х150","шт"
"77609","КМН 400х200","шт"
"50972","КМН 400х250","шт"
"НФ-00002181","КМН 450х200","шт"
"НФ-00002191","КМН 450х250","шт"
"НФ-00048960","КМН 500х150","шт"
"77832","КМН 500х200","шт"
"НФ-00003730","Решетка КМР 200*125 (RAL 7047)","шт"
"69765","КМР 200х100","шт"
"НФ-00042445","КМР 300х100","шт"
"73696","КМР 300х150","шт"
"НФ-00042446","КМР 300х200","шт"
"69766","КМР 300х250","шт"
"НФ-00053075","КМР 390х290","шт"
"НФ-00049099","КМР 400х100","шт"
"73697","КМР 400х150","шт"
"НФ-00006427","Решетка КМР 400х200 (RAL 7047)","шт"
"НФ-00053058","КМР 400х500","шт"
"69767","КМР 500х150","шт"
"69768","КМР 500х175","шт"
"69769","КМР 500х250","шт"
"НФ-00053076","КМР 500х300","шт"
"НФ-00053059","КМР 500х400","шт"
"69770","КМР 600х200","шт"
"69771","КМР 600х225","шт"
"64259","Вентиляционная решетка КМУ 200х100","шт"
"74037","Вентиляционная решетка КМУ 200х150","шт"
"73694","Вентиляционная решетка КМУ 200х200","шт"
"НФ-00004631","Решетка КМУ 300х100","шт"
"73695","Вентиляционная решетка КМУ 300х150","шт"
"НФ-00004632","Решетка КМУ 300х200","шт"
"73676","Вентиляционная решетка КМУ 400х200","шт"
"73675","Вентиляционная решетка КМУ 500х150","шт"
"НФ-00011018","Решетка КМУ 500х200","шт"
"НФ-00004633","Решетка КМУ 500х250","шт"
"НФ-00004634","Решетка КМУ 600х250","шт"
"НФ-00053157","КМУ 900х250","шт"
"НФ-00005029","Ковш Wenzo строительный с деревянной ручкой","шт"
"НФ-00043375","Кожух 1000х1000","шт"
"НФ-00043775","Кожух 1000х1400х1500","шт"
"53608","Кожух 1000х400","пог.м"
"НФ-00042220","Кожух 1000х500","пог.м"
"53026","Кожух 1000х600","пог.м"
"НФ-00007627","Кожух 1000х600","шт"
"53021","Кожух 1000х700","пог.м"
"НФ-00005443","Кожух 1000х900","пог.м"
"66963","Кожух 100х1000х100","шт"
"74741","Кожух 1050х1050","шт"
"НФ-00006784","Кожух 1050х300","шт"
"НФ-00006922","Кожух 1050х400","шт"
"НФ-00046077","Кожух 1060х1050","пог.м"
"74739","Кожух 1070х620","шт"
"НФ-00003416","Кожух 1070х670","пог.м"
"55848","Кожух 1070х770","пог.м"
"66611","Кожух 1100х1100","шт"
"НФ-00053177","Кожух 1100х400","шт"
"66775","Кожух 1100х600","пог.м"
"57400","Кожух 1100х800","шт"
"73042","Кожух 1120х920","пог.м"
"НФ-00012042","Кожух 1150х850","шт"
"55166","Кожух 1180х770","шт"
"НФ-00044299","Кожух 1200х1200","шт"
"53018","Кожух 1200х600","пог.м"
"53019","Кожух 1200х700","пог.м"
"НФ-00048688","Кожух 1250х1050","пог.м"
"55847","Кожух 1270х870","пог.м"
"57403","Кожух 1300х1200","пог.м"
"74748","Кожух 1300х1300","шт"
"57401","Кожух 1300х700","пог.м"
"57402","Кожух 1300х900","пог.м"
"74746","Кожух 1320х580","шт"
"НФ-00046076","Кожух 1350х1340","пог.м"
"64728","Кожух 1500х350","пог.м"
"53609","Кожух 150х150","пог.м"
"75280","Кожух 1560х1560","пог.м"
"50884","Кожух 1600х400","пог.м"
"НФ-00048964","Кожух 1660х1060","шт"
"74747","Кожух 1680х1680","шт"
"74745","Кожух 1700х480","шт"
"НФ-00046078","Кожух 1860х1850","пог.м"
"НФ-00003827","Кожух 200х100","пог.м"
"НФ-00050158","Кожух 200х200","пог.м"
"НФ-00044302","Кожух 2100х1350","шт"
"НФ-00044298","Кожух 2100х1600","шт"
"78200","Кожух 250х680х250","шт"
"78201","Кожух 250х880х250","шт"
"64733","Кожух 300х300","пог.м"
"НФ-00050159","Кожух 350х200","пог.м"
"75276","Кожух 360х210","пог.м"
"75277","Кожух 360х260","пог.м"
"66962","Кожух 400х1000х400","шт"
"66771","Кожух 400х250","шт"
"НФ-00050156","Кожух 400х300","пог.м"
"66619","Кожух 400х400","шт"
"78197","Кожух 450х1080х450","шт"
"71985","Кожух 450х150","пог.м"
"НФ-00051252","Кожух 450х250","шт"
"66768","Кожух 450х350","шт"
"64731","Кожух 450х450","шт"
"53606","Кожух 500х250","пог.м"
"53607","Кожух 500х300","пог.м"
"64730","Кожух 500х300","шт"
"66616","Кожух 500х400","шт"
"НФ-00050621","Кожух 500х400","пог.м"
"53020","Кожух 500х450","пог.м"
"66617","Кожух 500х500","шт"
"73104","Кожух 500х900","пог.м"
"71986","Кожух 550х150","пог.м"
"НФ-00051772","Кожух 560х560","шт"
"73045","Кожух 570х920","пог.м"
"77945","Кожух 590х590","шт"
"69400","Кожух 600х1600х600","шт"
"НФ-00050160","Кожух 600х300","пог.м"
"62473","Кожух 600х370","пог.м"
"57394","Кожух 600х400","пог.м"
"НФ-00050157","Кожух 600х450","пог.м"
"НФ-00051790","Кожух 600х500","пог.м"
"66615","Кожух 600х600","шт"
"НФ-00007100","Кожух 650х320","шт"
"64734","Кожух 650х350","пог.м"
"66770","Кожух 650х350","шт"
"НФ-00006776","Кожух 650х450","шт"
"НФ-00011073","Кожух 650х650","пог.м"
"75281","Кожух 660х460","пог.м"
"77010","Кожух 660х660","пог.м"
"62472","Кожух 670х400","пог.м"
"62470","Кожух 670х500","пог.м"
"62468","Кожух 670х600","пог.м"
"62467","Кожух 670х650","пог.м"
"68804","Кожух 680х600","пог.м"
"68803","Кожух 680х610","пог.м"
"77942","Кожух 690х490","пог.м"
"77956","Кожух 690х490","шт"
"62466","Кожух 700х450","пог.м"
"53022","Кожух 700х500","пог.м"
"64727","Кожух 700х650","пог.м"
"73105","Кожух 700х700","пог.м"
"68802","Кожух 720х710","пог.м"
"73044","Кожух 720х920","пог.м"
"76461","Кожух 730х530","шт"
"НФ-00003622","Кожух 740х390","шт"
"74744","Кожух 750х750","шт"
"68800","Кожух 760х550","пог.м"
"62464","Кожух 770х500","пог.м"
"74743","Кожух 780х480","шт"
"66961","Кожух 800х1000х800","шт"
"НФ-00042219","Кожух 800х300","пог.м"
"57395","Кожух 800х350","пог.м"
"57396","Кожух 800х400","пог.м"
"64724","Кожух 800х500","пог.м"
"53025","Кожух 800х600","пог.м"
"66614","Кожух 800х600","шт"
"68799","Кожух 800х785х800","пог.м"
"64729","Кожух 800х800","шт"
"НФ-00043773","Кожух 800х800х1000","шт"
"73043","Кожух 820х920","пог.м"
"НФ-00006779","Кожух 850х450","пог.м"
"НФ-00006781","Кожух 850х450","шт"
"НФ-00005441","Кожух 850х550","шт"
"НФ-00005442","Кожух 850х550","пог.м"
"66613","Кожух 850х850","шт"
"НФ-00011074","Кожух 850х850","пог.м"
"75278","Кожух 860х860","шт"
"75293","Кожух 860х860","пог.м"
"62463","Кожух 870х550","пог.м"
"55850","Кожух 870х570","пог.м"
"55849","Кожух 870х670","пог.м"
"НФ-00011388","Кожух 876","шт"
"57397","Кожух 900х400","пог.м"
"НФ-00007628","Кожух 900х400","шт"
"57398","Кожух 900х450","пог.м"
"64732","Кожух 900х500","пог.м"
"64942","Кожух 900х600","пог.м"
"НФ-00007626","Кожух 900х600","шт"
"57399","Кожух 900х700","пог.м"
"66612","Кожух 900х900","шт"
"73041","Кожух 920х920","пог.м"
"74742","Кожух 940х940","шт"
"НФ-00001832","Кожух 950","шт"
"НФ-00003985","Кожух 950х400","шт"
"НФ-00001830","Кожух 950х580","шт"
"НФ-00001831","Кожух 950х600","шт"
"НФ-00006515","Кожух 950х700","шт"
"НФ-00001833","Кожух 950х750","шт"
"74740","Кожух 960х500","шт"
"77011","Кожух 960х960","пог.м"
"68801","Кожух 970х850","пог.м"
"000013234","Кожух защитный на вентилятор","шт"
"000012831","Кожух защитный на электродвигатель","шт"
"51312","Кожух ф100","пог.м"
"56914","Кожух ф100","шт"
"48832","Кожух ф1000","пог.м"
"НФ-00042680","Кожух ф1000","шт"
"НФ-00009161","Кожух ф1020","пог.м"
"000014267","Кожух ф1050","шт"
"000010539","Кожух ф110","пог.м"
"НФ-00008022","Кожух ф110","шт"
"44514","Кожух ф112","пог.м"
"НФ-00012676","Кожух ф113","пог.м"
"НФ-00004300","Кожух ф115","шт"
"68628","Кожух ф118","пог.м"
"НФ-00008425","Кожух ф1180","пог.м"
"74087","Кожух ф120","пог.м"
"78358","Кожух ф124","пог.м"
"000010540","Кожух ф125","пог.м"
"48833","Кожух ф1250","пог.м"
"72474","Кожух ф1250","шт"
"НФ-00012674","Кожух ф127","пог.м"
"НФ-00002286","Кожух ф1280","пог.м"
"43604","Кожух ф130","пог.м"
"48810","Кожух ф135","пог.м"
"44515","Кожух ф137","пог.м"
"000010541","Кожух ф140","пог.м"
"54738","Кожух ф140","шт"
"78359","Кожух ф149","пог.м"
"77237","Кожух ф150","пог.м"
"НФ-00009157","Кожух ф150","шт"
"68629","Кожух ф157","пог.м"
"62662","Кожух ф159","пог.м"
"000010542","Кожух ф160","пог.м"
"54741","Кожух ф160","шт"
"НФ-00004178","Кожух ф170","шт"
"000010543","Кожух ф180","пог.м"
"52295","Кожух ф180","шт"
"75289","Кожух ф185","пог.м"
"55851","Кожух ф190","пог.м"
"67847","Кожух ф190","шт"
"54742","Кожух ф200","шт"
"НФ-00007568","Кожух ф200","пог.м"
"НФ-00043833","Кожух ф204","пог.м"
"НФ-00008628","Кожух ф208","пог.м"
"45480","Кожух ф210","пог.м"
"72363","Кожух ф210","шт"
"62660","Кожух ф219","пог.м"
"52293","Кожух ф220","шт"
"62682","Кожух ф220","пог.м"
"000010544","Кожух ф225","пог.м"
"55852","Кожух ф230","пог.м"
"НФ-00008627","Кожух ф233","пог.м"
"77913","Кожух ф236","пог.м"
"65438","Кожух ф240","пог.м"
"НФ-00045218","Кожух ф240","шт"
"000010545","Кожух ф250","пог.м"
"55122","Кожух ф250","шт"
"67814","Кожух ф255","пог.м"
"67848","Кожух ф255","шт"
"НФ-00008626","Кожух ф259","пог.м"
"57563","Кожух ф260","пог.м"
"НФ-00008023","Кожух ф260","шт"
"52294","Кожух ф270","шт"
"71984","Кожух ф270","пог.м"
"62657","Кожух ф273","пог.м"
"75712","Кожух ф276","пог.м"
"49817","Кожух ф280","пог.м"
"67846","Кожух ф280","шт"
"66177","Кожух ф290","пог.м"
"57393","Кожух ф300","пог.м"
"68805","Кожух ф300","шт"
"77914","Кожух ф308","пог.м"
"75275","Кожух ф310","пог.м"
"000010546","Кожух ф315","пог.м"
"55123","Кожух ф315","шт"
"НФ-00008625","Кожух ф319","пог.м"
"НФ-00011448","Кожух ф330","пог.м"
"52296","Кожух ф335","шт"
"62680","Кожух ф335","пог.м"
"000016829","Кожух ф350","пог.м"
"77253","Кожух ф350","шт"
"54743","Кожух ф355","шт"
"66179","Кожух ф370","пог.м"
"75290","Кожух ф375","пог.м"
"НФ-00000345","Кожух ф380","шт"
"НФ-00008537","Кожух ф393","пог.м"
"43412","Кожух ф400","пог.м"
"55124","Кожух ф400","шт"
"000012173","Кожух ф410","пог.м"
"НФ-00008021","Кожух ф410","шт"
"56866","Кожух ф415","шт"
"52297","Кожух ф420","шт"
"НФ-00010085","Кожух ф425","пог.м"
"55853","Кожух ф430","пог.м"
"НФ-00009158","Кожух ф445","пог.м"
"000010547","Кожух ф450","пог.м"
"73820","Кожух ф450","шт"
"73490","Кожух ф455","пог.м"
"73922","Кожух ф455","шт"
"НФ-00007946","Кожух ф455","шт"
"НФ-00002229","Кожух ф460","пог.м"
"66039","Кожух ф470","пог.м"
"45479","Кожух ф480","пог.м"
"43441","Кожух ф500","пог.м"
"56865","Кожух ф500","шт"
"45452","Кожух ф515","пог.м"
"65209","Кожух ф515","шт"
"77162","Кожух ф520","пог.м"
"45478","Кожух ф540","пог.м"
"65210","Кожух ф540","шт"
"НФ-00006778","Кожух ф550","шт"
"НФ-00007947","Кожух ф550","шт"
"64940","Кожух ф560","шт"
"66040","Кожух ф570","шт"
"47252","Кожух ф576","шт"
"78199","Кожух ф580","шт"
"45451","Кожух ф600","пог.м"
"73923","Кожух ф600","шт"
"НФ-00043807","Кожух ф620","шт"
"58811","Кожух ф630","пог.м"
"64725","Кожух ф630","шт"
"НФ-00008743","Кожух ф650","пог.м"
"73491","Кожух ф660","пог.м"
"73924","Кожух ф660","шт"
"НФ-00009162","Кожух ф680","пог.м"
"67815","Кожух ф685","пог.м"
"67849","Кожух ф685","шт"
"НФ-00008426","Кожух ф688","пог.м"
"77946","Кожух ф690","шт"
"45450","Кожух ф700","пог.м"
"64726","Кожух ф710","пог.м"
"НФ-00007625","Кожух ф710","шт"
"НФ-00000346","Кожух ф730","шт"
"58123","Кожух ф750","пог.м"
"67850","Кожух ф750","шт"
"77036","Кожух ф760","пог.м"
"НФ-00001621","Кожух ф760","шт"
"67816","Кожух ф780","пог.м"
"67851","Кожух ф780","шт"
"48836","Кожух ф800","пог.м"
"НФ-00042077","Кожух ф810","пог.м"
"НФ-00043002","Кожух ф810","пог.м"
"НФ-00050897","Кожух ф810","шт"
"НФ-00008598","Кожух ф830","пог.м"
"77037","Кожух ф850","пог.м"
"58124","Кожух ф880","пог.м"
"44303","Кожух ф900","пог.м"
"НФ-00051840","Кожух ф900","шт"
"НФ-00001540","Кожух ф920","пог.м"
"НФ-00001541","Кожух ф920","шт"
"77012","Кожух ф960","пог.м"
"НФ-00008538","Кожух ф97","пог.м"
"51676","Клапан противопожарный КОЗК-1 (НО)-К- 125 - L-BLF (220) - оц - СН с электромеханическим приводом и возвратной пружиной","шт"
"51638","Клапан противопожарный КОЗК-1 (НО)-К- 200 - L-BLF (220) - оц - СН с электромеханическим приводом и возвратной пружиной","шт"
"51639","Клапан противопожарный КОЗК-1 (НО)-К- 250 - L-BLF (220) - оц - СН с электромеханическим приводом и возвратной пружиной","шт"
"51641","Клапан противопожарный КОЗК-1 (НО)-К- 560 - L-BF (220) - оц - СН с электромеханическим приводом и возвратной пружиной","шт"
"51640","Клапан противопожарный КОЗК-1 (НО)-К- 710 - L-BF (220) - оц - СН с электромеханическим приводом и возвратной пружиной","шт"
"43634","Клапан противопожарный КОЗК-1(60) ф250 с электромагнитным приводом","шт"
"42450","Клапан противопожарный КОЗК-1(60) ф315  с электромагнитным приводом","шт"
"46681","Клапан противопожарный КОЗК-2(60) ф250 с электромеханическим приводом","шт"
"46682","Клапан противопожарный КОЗК-2(60) ф710 с электромеханическим приводом","шт"
"46683","Клапан противопожарный КОЗК-2(60) ф900 с электромеханическим приводом","шт"
"51027","Клапан огнезадерживающий КОЗК2-(60)-220-ф 220  НО-L с эл. механ. приводом","шт"
"50997","Клапан огнезадерживающий КОЗК2-(60)-220-ф 250  НО-L с эл. механ. приводом","шт"
"50996","Клапан огнезадерживающий КОЗК2-(60)-220-ф 315  НО-L с эл. механ. приводом","шт"
"44612","Клапан огнезадерживающий КОЗК2-(60)-230-ф 100  НО-L с эл. механ. приводом","шт"
"44613","Клапан огнезадерживающий КОЗК2-(60)-230-ф 125  НО-L с эл. механ. приводом","шт"
"44614","Клапан огнезадерживающий КОЗК2-(60)-230-ф 160  НО-L с эл. механ. приводом","шт"
"46326","Клапан огнезадерживающий КОЗК2-(60)-230-ф 200  НО-L с эл. механ. приводом","шт"
"45177","Клапан огнезадерживающий КОЗК2-(60)-230-ф 250  НО-L с эл. механ. приводом","шт"
"46327","Клапан огнезадерживающий КОЗК2-(60)-230-ф 315  НО-L с эл. механ. приводом","шт"
"49527","Клапан огнезадерживающий КОЗК2-(60)-230-ф 355  НО-L с эл. механ. приводом","шт"
"52077","Клапан огнезадерживающий КОЗК2-(60)-230-ф 630  НЗ-L с эл. магн. приводом","шт"
"44939","Клапан огнезадерживающий КОЗК2-(60)-230-ф 630  НО-L с эл. механ. приводом","шт"
"52081","Клапан огнезадерживающий КОЗК2-(60)-230-ф 800  НЗ-L с эл. магн. приводом","шт"
"46448","Клапан огнезадерживающий КОЗК2-(60)-230-ф 900  НО-L с эл. механ. приводом","шт"
"51798","КОЗП-1-(НО)-К-1000х1000(h)-L-BH(220)","шт"
"51799","КОЗП-1-(НО)-К-500х600(h)-L-BH(220)","шт"
"53075","Клапан противопожарный КОЗП-1(120) 500х500  (НО) с электромагнитным приводом","шт"
"42445","Клапан противопожарный КОЗП-1(60) 1000х1300  с электромагнитным приводом","шт"
"49494","Клапан противопожарный КОЗП-1(60) 1000х400  с электромагнитным приводом","шт"
"49485","Клапан противопожарный КОЗП-1(60) 1000х500  с электромагнитным приводом","шт"
"48214","Клапан противопожарный КОЗП-1(60) 200х200  с электромагнитным приводом","шт"
"49483","Клапан противопожарный КОЗП-1(60) 500х1000  с электромагнитным приводом","шт"
"42446","Клапан противопожарный КОЗП-1(60) 500х1300  с электромагнитным приводом","шт"
"42449","Клапан противопожарный КОЗП-1(60) 500х400  с электромагнитным приводом","шт"
"42447","Клапан противопожарный КОЗП-1(60) 600х400  с электромагнитным приводом","шт"
"42448","Клапан противопожарный КОЗП-1(60) 700х500  с электромагнитным приводом","шт"
"53088","Клапан огнезадерживающий КОЗП-2-(НО)-500х500h - ЭМ (220) с эл./механическим приводом","шт"
"53100","Клапан противопожарный КОЗП-2-(НО)-К- 150х300h - L-BLF (220) - оц - СН","шт"
"46325","Клапан противопожарный КОЗП-2(60)-230В-500х300-НО-L с эл.механ. приводом","шт"
"42064","Клапан противопожарный КОЗП-2(90) 150х150 с электромеханическим приводом","шт"
